,epoch,dice_coef,iou,loss,val_dice_coef,val_iou,val_loss,training_time,test_loss,test_dice_coef,test_iou,testing_time
0,0,0.6865689158439636,0.5270665287971497,0.3134312331676483,0.2348339706659317,0.1330654770135879,0.7651660442352295,155.96887638299995,0.0484042726457119,0.9518359303474426,0.9084890484809875,15.426461716999711
1,1,0.7792156934738159,0.6391981244087219,0.2207844257354736,0.5178737044334412,0.3504357635974884,0.4821262955665588,123.89323876399999,0.0484042726457119,0.9518359303474426,0.9084890484809875,15.426461716999711
2,2,0.8310626745223999,0.711434006690979,0.1689376085996627,0.7435253858566284,0.5923374891281128,0.2564746439456939,122.75862433599991,0.0484042726457119,0.9518359303474426,0.9084890484809875,15.426461716999711
3,3,0.8679577112197876,0.7671412825584412,0.1320422738790512,0.8540641665458679,0.7455301284790039,0.1459358185529709,122.9409780599999,0.0484042726457119,0.9518359303474426,0.9084890484809875,15.426461716999711
4,4,0.8975251317024231,0.8143479824066162,0.1024749279022216,0.8973470330238342,0.813922643661499,0.1026528924703598,124.88158928300004,0.0484042726457119,0.9518359303474426,0.9084890484809875,15.426461716999711
5,5,0.9180060625076294,0.8486554026603699,0.0819938033819198,0.9162558317184448,0.8456077575683594,0.0837440565228462,123.27413185599994,0.0484042726457119,0.9518359303474426,0.9084890484809875,15.426461716999711
6,6,0.9321807026863098,0.8730923533439636,0.0678195655345916,0.92913156747818,0.8677528500556946,0.0708684548735618,123.27909619599995,0.0484042726457119,0.9518359303474426,0.9084890484809875,15.426461716999711
7,7,0.9426357746124268,0.8915815949440002,0.057364322245121,0.9442195296287536,0.8944046497344971,0.0557803958654403,125.31362324500014,0.0484042726457119,0.9518359303474426,0.9084890484809875,15.426461716999711
8,8,0.9513833522796632,0.907336175441742,0.0486163049936294,0.9490708708763124,0.903131902217865,0.0509291812777519,125.249155685,0.0484042726457119,0.9518359303474426,0.9084890484809875,15.426461716999711
9,9,0.9573442935943604,0.9182224869728088,0.0426558479666709,0.9544602632522584,0.9129468202590942,0.0455397702753543,125.2265324179998,0.0484042726457119,0.9518359303474426,0.9084890484809875,15.426461716999711
