,epoch,dice_coef,iou,loss,val_dice_coef,val_iou,val_loss,training_time,test_loss,test_dice_coef,test_iou,testing_time
0,0,0.8413994908332825,0.7361115217208862,0.1586006134748459,0.1971029341220855,0.1093367114663124,0.802897036075592,147.8485680990002,0.032389163970947266,0.967827558517456,0.9379585385322571,12.268563905000065
1,1,0.9211941361427308,0.8542032837867737,0.0788058489561081,0.1205194443464279,0.0642881616950035,0.8794806003570557,126.23784740500014,0.032389163970947266,0.967827558517456,0.9379585385322571,12.268563905000065
2,2,0.941536009311676,0.8896939754486084,0.0584640465676784,0.7530772686004639,0.6068891286849976,0.2469227761030197,126.27051031500014,0.032389163970947266,0.967827558517456,0.9379585385322571,12.268563905000065
3,3,0.9497101902961732,0.904400110244751,0.0502899028360843,0.8888254165649414,0.8005297780036926,0.1111744865775108,126.27073114799987,0.032389163970947266,0.967827558517456,0.9379585385322571,12.268563905000065
4,4,0.957946240901947,0.9193701148033142,0.0420537367463111,0.9520398378372192,0.9085906744003296,0.0479601249098777,126.11952125500011,0.032389163970947266,0.967827558517456,0.9379585385322571,12.268563905000065
5,5,0.962963044643402,0.9286739230155944,0.0370365269482135,0.9509199857711792,0.9065757989883424,0.0490799732506275,128.10224455599973,0.032389163970947266,0.967827558517456,0.9379585385322571,12.268563905000065
6,6,0.9669684767723083,0.9361135959625244,0.03303162753582,0.964807629585266,0.93207186460495,0.0351923704147338,126.41994078599964,0.032389163970947266,0.967827558517456,0.9379585385322571,12.268563905000065
7,7,0.969987452030182,0.9417774677276612,0.0300126485526561,0.9660438299179076,0.934394121170044,0.0339560471475124,128.28002152299996,0.032389163970947266,0.967827558517456,0.9379585385322571,12.268563905000065
8,8,0.9717742800712584,0.9451390504837036,0.0282254926860332,0.9667002558708192,0.9356288909912108,0.0332997106015682,126.774963673,0.032389163970947266,0.967827558517456,0.9379585385322571,12.268563905000065
9,9,0.9738038182258606,0.9489802122116088,0.026196414604783,0.9699552059173584,0.9417256116867064,0.0300447773188352,128.29779295199978,0.032389163970947266,0.967827558517456,0.9379585385322571,12.268563905000065
