,epoch,dice_coef,iou,loss,val_dice_coef,val_iou,val_loss,training_time,test_loss,test_dice_coef,test_iou,testing_time
0,0,0.7910279035568237,0.6616275310516357,0.2089720070362091,0.1904309391975402,0.105244942009449,0.8095691204071045,183.20507859600002,0.03567647933959961,0.9645643830299377,0.9319588541984558,18.298223100000087
1,1,0.8823544979095459,0.7900714874267578,0.1176455095410347,0.1217375770211219,0.0649021118879318,0.8782625198364258,124.92895103299998,0.03567647933959961,0.9645643830299377,0.9319588541984558,18.298223100000087
2,2,0.9152622818946838,0.843975305557251,0.0847377330064773,0.6607397794723511,0.4969477355480194,0.3392601609230041,124.638187539,0.03567647933959961,0.9645643830299377,0.9319588541984558,18.298223100000087
3,3,0.9353363513946532,0.878728985786438,0.0646637380123138,0.9208007454872132,0.8534648418426514,0.0791992992162704,125.027404961,0.03567647933959961,0.9645643830299377,0.9319588541984558,18.298223100000087
4,4,0.9490103125572203,0.9030932784080504,0.0509895123541355,0.9442158937454224,0.8944858312606812,0.0557841286063194,125.16204376300016,0.03567647933959961,0.9645643830299377,0.9319588541984558,18.298223100000087
5,5,0.9569332003593444,0.9175074100494384,0.0430667363107204,0.9509260654449464,0.906562864780426,0.0490739494562149,124.92533638699979,0.03567647933959961,0.9645643830299377,0.9319588541984558,18.298223100000087
6,6,0.9614086151123048,0.9257684350013732,0.0385913364589214,0.9585964679718018,0.9205721020698548,0.0414034761488437,124.62792576999982,0.03567647933959961,0.9645643830299377,0.9319588541984558,18.298223100000087
7,7,0.9633668661117554,0.9294098019599916,0.0366331487894058,0.962495744228363,0.9277718663215636,0.0375042930245399,126.58648264900012,0.03567647933959961,0.9645643830299377,0.9319588541984558,18.298223100000087
8,8,0.9682840704917908,0.9385700821876526,0.0317160412669181,0.9668048024177552,0.9358062744140624,0.0331952236592769,125.25511625300032,0.03567647933959961,0.9645643830299377,0.9319588541984558,18.298223100000087
9,9,0.9715690612792968,0.9447487592697144,0.0284305941313505,0.9673058390617372,0.9367421865463256,0.0326942317187786,126.82340493000038,0.03567647933959961,0.9645643830299377,0.9319588541984558,18.298223100000087
